빌라,월세(만원),보증금(만원),면적,층,동
상도더하임,200,200,54.15,2,상도동
주원베르빌102,115,"10,000",26.43,5,상도동
원형쉐르빌(289-26),100,"5,000",72.48,2,상도동
엘렌하우스,91,"3,000",16.23,4,상도동
미소가26차,90,"5,000",31.98,4,상도동
(440-0),86,"2,000",20.3,2,상도1동
예그린,80,200,35.52,4,상도동
상도로지빌,80,"2,000",29.1,5,상도동
휴먼빌레(299-164),77,"2,700",29.65,4,상도동
해오름빌,75,"8,000",28.26,2,상도1동
다나네스트빌(211-91),70,"1,000",45.86,3,상도동
지안,70,"5,000",23.38,4,상도동
미소가9차,70,"5,000",33.7,3,상도동
청운하우스,70,"17,000",45.89,4,상도동
(210-188),70,"3,000",46.44,4,상도동
민진하임,65,"1,000",20.38,5,상도1동
(134-195),60,"3,000",45.08,1,상도동
에벤에셀(428-1),60,"1,000",14.14,2,상도1동
유진하이츠빌라,60,"2,000",42.11,2,상도동
청구빌리지,60,"2,000",57.47,3,상도동
민진하임,60,"1,000",17.73,5,상도1동
신성빌,58,"2,000",23.26,2,상도1동
상록원룸,55,"4,000",27.66,4,상도동
금화빌,53,500,17.64,2,상도동
(495-2),51,500,16.1,4,상도동
늘품명가2차,50,"3,000",14.36,3,상도1동
에덴빌,45,"5,000",23.03,3,상도1동
아침햇살,40,"3,000",12.14,4,상도동
(469-4),39,"5,000",29.08,3,상도동
올레하우스,30,"22,000",27.53,6,상도동
무경하우스,30,"3,000",12.49,4,상도동
대왕주택(214-421),30,"15,000",47.82,2,상도동
현진빌라(221-1),30,"21,000",86.4,1,상도동
재오에이트,25,"25,000",59.28,3,상도동
이주아트빌라(나동),20,"14,000",53.07,1,상도동
쉐어하우스,20,"5,000",14.98,1,상도동
리안아트,20,"17,800",29.96,1,상도동
상도센트레빌,20,"26,000",36.87,2,상도1동
은하맨션,20,"24,000",66.26,2,상도동
중앙빌라,20,"35,000",84.88,3,상도1동
중앙빌라,20,"35,000",84.88,3,상도1동
상도힐,16,"13,000",27.43,5,상도동
초원하이츠빌라,15,"13,000",40.08,2,상도동
드림팰리스II,15,"13,000",18.21,4,상도동
푸른숲하우스,14,"18,900",27.34,4,상도동
그린홈,14,"18,000",38.32,3,상도동
맨하탄하우징(256-180),12,"28,000",50.38,4,상도동
상도동행복주택,11,"4,402",20.01,3,상도동
한강노블레스,10,"25,000",43.14,3,상도동
세이프빌,10,"27,400",29.9,2,상도동
삼성상도빌라,10,"44,000",152.37,4,상도1동
승신빌라,10,"10,500",48.96,-1,상도동
케이디아이빌E동,8,"12,500",23.29,2,상도동
미경빌라(214-35),8,"5,000",50.38,-1,상도동
대흥미소가29차(A동),5,"24,000",29.78,2,상도동
영창하이츠빌라나,5,"24,000",56.9,3,상도1동
흑석빌리지,71,"3,000",56.59,4,흑석동
수인빌,60,"1,000",52.76,2,흑석동
(34-81),30,0,27.85,1,노량진1동
(51-8),20,"11,500",12.4,2,노량진1동
(51-11),15,"17,000",16.87,3,노량진1동
(51-8),10,"15,000",17.1,2,노량진1동
"문성하이트빌라(294-3,41)",60,"3,000",47.7,1,노량진동
미도빌,55,500,14.7,4,노량진동
정원스테이,20,"24,300",29.97,3,노량진동
한강하이츠빌라1,15,"17,850",59.98,2,노량진동
정원스테이,12,"22,600",28.48,5,노량진동
라움(310-57),6,"18,500",21.11,4,노량진동
아트라움(103-139),155,"5,000",53.14,6,신림동
로뎀하우스,140,"2,000",29.31,2,신림동
신후가15차,120,"5,000",29.93,2,신림동
신후가15차,120,"4,000",29.2,5,신림동
신후가15차,110,"5,000",28.06,1,신림동
다온타워,105,"5,000",26.03,8,신림동
그랜드힐,102,"3,000",29.8,8,신림동
으뜸캐슬,100,"2,000",24.98,4,신림동
으뜸캐슬,100,"3,000",24.98,5,신림동
정원팰리체A동B동,100,"2,000",29.84,6,신림동
으뜸캐슬,100,"3,000",24.98,5,신림동
은선빌라(610-260),90,"3,000",68.8,3,신림동
성강채,80,"3,000",29.94,2,신림동
은선빌라(610-260),80,"4,000",69.6,1,신림동
마이바움신림,80,"2,000",39.84,4,신림동
103-134,78,"3,200",39.31,4,신림동
우성아트빌,78,"3,000",50.26,3,신림동
(120-93),75,"1,000",37.32,2,신림동
한백아트,75,"4,000",44.39,5,신림동
명일파크빌,62,"3,000",27.09,2,신림동
엘림하우스,60,"2,000",79.59,1,신림동
자이오피스텔,58,"3,000",10.64,8,신림동
삼성아트빌(626-65),55,"2,000",48.42,1,신림동
써밋(551-29),55,"10,000",26.3,7,신림동
휴파크,54,"3,000",17.56,2,신림동
휴파크,54,"5,000",22.61,3,신림동
스타빌딩,53,500,14.21,6,신림동
삼익빌라,50,"3,000",43.23,-1,신림동
가윤,50,500,14.01,7,신림동
헤븐빌리지,50,300,22.16,3,신림동
대신아트빌3차,50,"2,500",72.72,4,신림동
에덴빌라(598-113),50,"10,000",63.02,2,신림동
경원하이츠텔,48,500,21.66,12,신림동
가온누리,47,"1,000",17.67,6,신림동
JCSTUDIO,46,"5,000",18.67,11,신림동
은석하우스,45,500,36.29,3,신림동
휴드림,45,500,29.96,9,신림동
해피빌,45,"1,000",29.32,5,신림동
(10-584),45,"3,000",109.66,2,신림동
청운,39,300,13.6,2,신림동
은연재,36,"3,000",14.18,4,신림동
은연재,36,"3,000",14.18,4,신림동
은선빌라(610-260),35,"10,000",69.6,1,신림동
(1608-25),35,"20,000",67.93,3,신림동
(1608-25),35,"20,000",67.93,3,신림동
JCSTUDIO,33,"10,000",20.59,11,신림동
좋은집,32,500,15.43,4,신림동
원앙빌라B,30,"10,000",59.96,-1,신림동
신림서희빌(1446-3),30,"7,000",32.1,5,신림동
파크빌,30,"20,000",26.2,7,신림동
다솜그랑빌,30,"26,000",51.78,2,신림동
신남,30,"8,000",29.66,2,신림동
클래스트,30,"25,700",41.97,2,신림동
클래스트,30,"25,700",41.97,2,신림동
이제스홀,25,"20,000",40.59,2,신림동
천년캐슬,25,"14,300",29.47,2,신림동
프레미오,25,500,46.8,4,신림동
AugustTower,23,"15,800",15.7,7,신림동
센트레빌,20,"10,000",21.5,3,신림동
(1510-1),20,"20,500",53.55,3,신림동
(102-60),20,"13,000",43.23,2,신림동
(498-49),20,"18,000",59.19,1,신림동
서림도시형생활주택,20,"2,000",12.32,5,신림동
풍원하임빌,20,"23,500",28.87,5,신림동
풍원하임빌,20,"23,500",28.87,5,신림동
글로리하우스,17,"20,790",24.11,3,신림동
글로리하우스,17,"20,790",24.11,3,신림동
(95-68),15,"11,000",39.54,3,신림동
아원빌,15,"20,400",48.24,2,신림동
(1573-33),14,"17,800",41.04,2,신림동
AugustTower,13,"14,500",13.4,5,신림동
(412-358),13,"10,000",36.71,1,신림동
모던(646-244),12,"10,000",50.28,1,신림동
Jin.H,10,"15,500",21.82,2,신림동
대원빌라,10,"13,000",42.48,2,신림동
산마루빌,10,"14,800",25.22,4,신림동
전원주택,10,"12,000",37.86,3,신림동
(409-151),10,"14,000",52.46,2,신림동
(685-25),10,"12,500",44.21,1,신림동
센트라노신림,10,"23,000",25.99,5,신림동
장원빌,8,"12,000",22.8,2,신림동
다솜시티빌,7,"22,500",16.38,5,신림동
하나빌리지,5,"3,500",14.05,3,신림동
성안빌딩(1667-1),5,"10,000",14.77,6,신림동
이지비아,5,"21,050",27.81,7,신림동
한빛하우스3차(1564-5),5,"18,300",58,2,신림동
서진(1595-4),4,"8,000",19.24,3,신림동
하늘명가,3,"20,928",50.3,3,신림동
무궁화빌,3,"23,000",39.39,2,신림동
오렌지하임(1681-16),110,"4,000",29.54,3,봉천동
다솜빌,100,"5,000",23,6,봉천동
다세대주택(887-7),100,"5,000",29.47,4,봉천동
(879-1),100,"2,000",50.78,2,봉천동
대성빌라,90,"5,000",62.94,2,봉천동
엄마의꿈,80,"3,000",47.61,2,봉천동
보라매빌,80,"7,000",29.54,2,봉천동
(909-10),80,"4,000",38.05,3,봉천동
동진빌라(180-138),80,"5,000",68.23,4,봉천동
썬휠타워빌B,80,"1,000",45.06,2,봉천동
별비채(960-7),75,"1,000",27.37,4,봉천동
송이빌라나동,65,"7,000",65.68,3,봉천동
플러스타워,65,"1,000",10.5,9,봉천동
(196-90),60,"3,000",33.21,2,봉천동
관악그린빌라,60,"1,000",53.44,1,봉천동
원일빌,60,"1,000",30.8,-1,봉천동
(893-19),55,"3,000",55.67,1,봉천동
(1644-15),55,"1,000",15.78,3,봉천동
ESvill,52,"1,000",81.16,3,봉천동
삼화빌리지,50,"20,000",88.92,1,봉천동
E.H.Vill,50,"2,645",15.55,3,봉천동
동성드림빌,50,"9,000",43.22,2,봉천동
(734-16),48,"7,000",24.72,5,봉천동
산우가(1510-43),45,"15,000",50.52,2,봉천동
CJ아트빌,42,"17,000",27.37,5,봉천동
